,V,A,D,text
0,0.5,0.44999999999999996,0.6,"Remember what she said in my last letter? """
1,0.5,0.55,0.5,If I wasn't working here.
2,0.6,0.6,0.55,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.
3,0.65,0.65,0.65,Coming to Goodwill was the first step toward my becoming totally independent.
4,0.6,0.5,0.55,"I am now... totally off of welfare."""
5,0.5,0.5,0.5,Goodwill prepares people for life-long employment.
6,0.5,0.5,0.5,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli."
7,0.5825,0.5,0.6675,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.
8,0.5,0.5,0.5,"Dear ,"
9,0.5,0.5,0.5,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """
10,0.6,0.55,0.7,"I've got more than a job; I've got a career."""
11,0.625,0.625,0.625,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """
12,0.5,0.5,0.55,I rode a bike to Goodwill in the rain and snow.
13,0.44999999999999996,0.5,0.5,I wanted to be there.
14,0.65,0.7,0.7,"..I had my second chance to change my life."""
15,0.6675,0.5,0.5825,Your gift to Goodwill will help the many people who want to tell their own stories of success.
16,0.75,0.65,0.65,Your support will help them go to work.
17,0.6,0.6,0.5,Please use the enclosed envelope to give a generous gift to Goodwill today!
18,0.5,0.5,0.5,"Sincerely,"
19,0.55,0.30000000000000004,0.6,"William A Carter, Chairman Goodwill Industries Foundation"
20,0.5,0.30000000000000004,0.5,P.S.
21,0.6675,0.5825,0.5,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102."
22,0.5625,0.5,0.5625,"That money was then spent in a variety of ways, adding fuel to our thriving economy."
23,0.8,0.55,0.6,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars."
24,0.55,0.5,0.5,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.
25,0.5425,0.4575,0.5425,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million."
26,0.6,0.35,0.55,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.
27,0.5,0.5,0.5,What kind of work does Goodwill do?
28,0.55,0.5,0.5,Goodwill finds jobs for people with mental and physical disabilities.
29,0.6,0.55,0.55,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society."
30,0.6,0.44999999999999996,0.44999999999999996,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:"
31,0.5825,0.5825,0.5,"The business community welcomes not only another worker, but a consumer with increased purchasing power."
