,deal_id,deal_size,deal_date,ceo_id,network,smile,tweet_count,ebk_v,ebk_a,ebk_d
0,166544-02T,0.08,09-Feb-2021,185788-54P,289.0,,132.0,0.512169718742371,0.509172022342682,0.525539934635162
1,155005-75T,0.18,16-Apr-2021,157850-20P,130.0,rewarding,9.0,0.511805653572083,0.509829998016357,0.524755358695984
2,185363-83T,0.22,17-Dec-2021,199946-89P,226.0,rewarding,96.0,0.50723797082901,0.517135620117188,0.533332049846649
3,185085-55T,0.31,01-Mar-2021,103381-75P,1705.0,affiliative,0.0,,,
4,170970-22T,0.41,12-May-2021,229136-86P,450.0,affiliative,0.0,,,
5,167870-89T,0.42,11-Aug-2021,45434-08P,1714.0,rewarding,297.0,0.527428507804871,0.52229255437851,0.54236102104187
6,165467-35T,0.53,08-May-2021,119142-64P,341.0,dominant,1.0,0.456052660942078,0.497269451618195,0.49567711353302
7,165402-28T,0.61,20-Jan-2021,209557-36P,69.0,dominant,21.0,0.510672330856323,0.512028753757477,0.525043606758118
8,184859-74T,0.70,23-Nov-2021,250608-16P,95.0,dominant,0.0,,,
9,141060-61T,0.83,25-Jan-2021,41566-33P,225.0,dominant,1.0,0.563162982463837,0.537682056427002,0.55301696062088
10,182318-86T,0.86,26-Oct-2021,171431-11P,316.0,rewarding,6.0,0.510776817798615,0.521864831447601,0.531835317611694
11,187128-37T,0.88,30-Dec-2021,115754-50P,232.0,,4.0,0.522588074207306,0.514536857604981,0.549030125141144
12,171764-02T,0.91,08-Mar-2021,203846-50P,83.0,affiliative,5.0,0.518095433712006,0.520476520061493,0.542391777038574
13,165681-73T,0.94,15-Jan-2021,172664-83P,165.0,dominant,9.0,0.496386110782623,0.521091401576996,0.530007302761078
14,166201-84T,0.95,03-Feb-2021,36956-17P,192.0,dominant,17.0,0.525353014469147,0.515930771827698,0.538887858390808
15,186344-47T,0.97,26-Feb-2021,52086-52P,312.0,rewarding,138.0,0.509897351264954,0.517196118831635,0.535315811634064
16,179876-35T,0.98,09-Sep-2021,179869-42P,801.0,rewarding,152.0,0.5240758061409,0.5223428606987,0.544958591461182
17,172081-00T,1.00,23-Sep-2021,144821-71P,199.0,affiliative,10.0,0.503013134002686,0.516254723072052,0.531252980232239
18,170801-38T,1.10,07-Apr-2021,143039-26P,458.0,,14.0,0.527339696884155,0.518915295600891,0.540207445621491
19,171834-40T,1.14,06-May-2021,42135-40P,32.0,,1.0,0.511503040790558,0.50493711233139,0.53489089012146
20,175710-52T,1.17,05-May-2021,144206-92P,120.0,affiliative,5.0,0.492479562759399,0.511017858982086,0.521465718746185
21,176598-82T,1.20,21-Sep-2021,269201-98P,183.0,affiliative,1.0,0.536802589893341,0.560146033763886,0.555362641811371
