Deal ID,Companies,Company ID,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO (at time of deal),CEO PBId,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Add-on,Debts,Total New Debt,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded,Company Website
181688-41T,Gaudio,170178-13,"Developer of audio technology created to provide excellent sound experiences through innovative technologies. The company specializes in 360-degree video, interactive VR, enterprise, and custom technologies, and its suite of tools can be seamlessly integrated into multiple player platforms, thereby enabling customers to heighten their overall sense of presence for immersive content and improving their listening experience.",Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Business/Productivity Software, Information Services (B2C), Media and Information Services (B2B)*","AudioTech, Augmented Reality, Virtual Reality","audio experience, audio solution provider, binaural rendering, immersive audio, immersive sound, music listening, sound technology",Venture Capital-Backed,Generating Revenue,Venture Capital,Henney Oh,225994-69P,3,181688-41T,,14-Oct-2021,0.01,Actual,,,,,40.95,3rd Round,,,Series B,Later Stage VC,Series B,,Venture Capital,0.01,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,6,4,2,South-Korean Won (KRW),"Berkeley, CA",Americas,North America,Berkeley,California,94704,United States,2015,www.gaudiolab.com
165389-77T,Givsum,135056-62,"Developer of a universal philanthropic platform designed to connect individuals and charities. The company's platform facilitates donations, event ticket purchases, and volunteer opportunities, enabling individuals to efficiently and effectively manage, track and promote their philanthropic interests.",Information Technology,Software,Social/Platform Software,"Business/Productivity Software, Other Financial Services, Social/Platform Software*",TMT,"charity, donation tracking, fundraising platform, philanthropic interest promotion, philanthropic platform, universal philanthropic platform, volunteering, volunteering recruitment",Venture Capital-Backed,Generating Revenue/Not Profitable,Venture Capital,Shawn Wehan,166848-31P,4,165389-77T,07-Jan-2021,13-May-2021,0.01,Actual,6.63,6.64,Actual,0.14 %,1.76,2nd Round,Flat Round,0.35,Series A2,Later Stage VC,Series A2,,Venture Capital,0.01,No,,,,,Completed,Generating Revenue/Not Profitable,Venture Capital-Backed,,1,1,,US Dollars (USD),"Newport Beach, CA",Americas,North America,Newport Beach,California,92663,United States,2013,www.givsum.com
177618-34T,Cide Kic,264651-40,"Provider of a digital workflow system designed to administrate true visibility and complete insight into day-to-day operations in the kitchen. The company's digital platform integrates all aspects of kitchen management and operates interactive tools for on-boarding and training and converts to workflow consistency and transparency, enabling professional chefs to improve compliance, mitigate potential risks, improve autonomy and capture critical data within their customer database.",Information Technology,Software,Automation/Workflow Software,"Automation/Workflow Software*, Business/Productivity Software",FoodTech,"chef's platform, digital workflow system, kitchen management platform, kitchen management training, kitchen platform, kitchen solutions",Venture Capital-Backed,Generating Revenue,Venture Capital,Paul Stukus,59681-44P,1,177618-34T,,06-Jul-2021,0.02,Actual,0.25,0.27,Actual,7.69 %,0.02,1st Round,,1.77,Series AA,Early Stage VC,Series AA,,Venture Capital,0.02,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Washington, DC",Americas,North America,Washington,District of Columbia,20036,United States,2017,www.cidekic.com
178553-35T,FiCrEx,471691-00,"Operator of a decentralized financial platform intended to let users buy, sell and swap digital asset. The company's platform provides a wide variety of tokens available through the insights provided to users and facilitates them to trade and exchange cryptocurrency and supports a dynamic market-making mechanism, enabling users to trade across multiple digital currency pairs while maintaining security, liquidity and high-speed.",Information Technology,Software,Financial Software,"Financial Software*, Other Financial Services","Cryptocurrency/Blockchain, FinTech","decentralized exchange, decentralized exchange platform, decentralized mobile exchange, decentralized trading platform, token swaps, token trading",Venture Capital-Backed,Generating Revenue,Venture Capital,Tousina Martin,272526-22P,1,178553-35T,19-Jul-2021,30-Jul-2021,0.02,Actual,,,,,0.02,1st Round,,,Series A,Early Stage VC,Series A,,Venture Capital,0.02,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Fort Lauderdale, FL",Americas,North America,Fort Lauderdale,Florida,33301,United States,2021,www.ficrex.com
166544-02T,Route (Information Services),228812-32,"Developer of a research and analytics application designed to help high school football players choose the best path to play college football. The company's application leverages data science, machine learning, and advanced analytics to guide an athlete through the football recruitment process, helping them make better decisions about where to play.",Consumer Products and Services (B2C),Media,Information Services (B2C),"Application Software, Human Capital Services, Information Services (B2C)*","Artificial Intelligence & Machine Learning, Big Data, Mobile","artificial intelligence analytics, athletes exposure, college football recruiting, data analytics company, data science, football recruiting, predictive analysis model, sports analysis platform, sports analytics services, visual analytics, visual analytics tool",Venture Capital-Backed,Generating Revenue,Venture Capital,Craig Ridley,185788-54P,4,166544-02T,28-Jan-2021,09-Feb-2021,0.08,Actual,1.73,1.82,Actual,4.55 %,0.29,2nd Round,,1.13,Series A1,Early Stage VC,Series A1,,Venture Capital,0.08,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,2,2,,US Dollars (USD),"Ashburn, VA",Americas,North America,Ashburn,Virginia,20147,United States,2018,www.myroute.xyz
185094-37T,The Bee Corp,162689-86,"Developer of infrared image analysis software intended to ensure effective pollination of bees. The company's platform applies data analytics to beehives to help growers ensure effective pollination through infrared inspection technology, thereby enabling beekeepers to measure pollination value, determine the price, and protect yield.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)","AgTech, Artificial Intelligence & Machine Learning, Industrials, Supply Chain Tech, TMT","beekeeper assistance services, commercial crop pollination, crop pollination services, data analysis and processing, hive management, infrared application, pollination maximization, pollination technology, software & system development",Venture Capital-Backed,Generating Revenue,Venture Capital,Ellie Symes,141302-80P,7,185094-37T,03-Dec-2021,14-Dec-2021,0.15,Actual,5.31,5.46,Actual,2.83 %,1.07,4th Round,Up Round,3.33,Series A,Later Stage VC,Series A,,Venture Capital,0.15,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Indianapolis, IN",Americas,North America,Indianapolis,Indiana,46225,United States,2016,www.thebeecorp.com
168796-36T,Specificity,462940-48,"Provider of digital marketing services intended to offer the most advanced audience targeting capabilities. The company offers both target-based digital marketing and advertisement deployment tools, enabling organizations to get a more targeted audience, therefore driving much higher conversion rates.",Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Business/Productivity Software, Media and Information Services (B2B)*",Marketing Tech,"device identification, digital marketing, digital marketing service, domain targeting, marketing",Venture Capital-Backed,Generating Revenue,Venture Capital,Jason Wood,257008-78P,1,168796-36T,25-Feb-2021,16-Mar-2021,0.16,Actual,,,,,0.16,1st Round,,,Series B,Early Stage VC,Series B,,Venture Capital,0.16,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Tampa, FL",Americas,North America,Tampa,Florida,33619,United States,2020,www.specificityinc.com
155005-75T,Vampr,170939-62,"Developer of a social platform designed to help creatives find people to collaborate with, create new music and monetize their work. The company's platform facilitates music discovery, networking, and communication between users, enabling creatives to build a network and find the right people to collaborate within an easy-to-use a frictionless mobile application.",Information Technology,Software,Social/Platform Software,"Information Services (B2C), Media and Information Services (B2B), Social Content, Social/Platform Software*","AudioTech, Mobile, TMT","band auditioning, music distribution, music lovers application, music publishing platform, musicals application, musicians finder, online musicians, social networking application",Venture Capital-Backed,Generating Revenue,Venture Capital,Joshua Simons,157850-20P,5,155005-75T,,16-Apr-2021,0.18,Actual,,,,,2.47,2nd Round,,,Series A,Later Stage VC,Series A,,Venture Capital,0.18,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Henderson, NV",Americas,North America,Henderson,Nevada,89014,United States,2015,www.vampr.me
177388-93T,FinTron,436747-69,"Developer of a financial application designed to enhance financial freedom. The company's application consolidates essential financial data and facilitates tracking of debit, savings, and investing accounts through a single platform, enabling users to get information and updates about the finance and investment aspects.",Information Technology,Software,Financial Software,"Financial Software*, Other Financial Services",FinTech,"banking, banking and finance, broker dealer, budgeting, finance tracker, financial application, financial education, financial literacy, financial technology, gen z, investment tracker, meals planning, saving account, trading online",Venture Capital-Backed,Generating Revenue,Venture Capital,Wilder Rumpf,234407-17P,9,177388-93T,10-May-2021,10-May-2021,0.20,Actual,8.10,8.31,Actual,,4.50,5th Round,,,Series A,Early Stage VC,Series A,,Venture Capital,0.20,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Westport, CT",Americas,North America,Westport,Connecticut,6880,United States,2017,www.fintroninvest.com
132369-58T,Pollen Systems,232177-51,"Developer of an agriculture analysis system designed to improve crop yields. The company's system uses aerial drones to survey and photograph vineyards on a regular basis stitching the images together so that they can be analyzed for crop growth, over or under watering, and the presence of pests or diseases, enabling farmers and vineyards to monitor crop growth, discover irrigation issues and investigate pests and diseases.",Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Business/Productivity Software, Cultivation, Media and Information Services (B2B)*","AgTech, Robotics and Drones, SaaS, Supply Chain Tech, TMT","agriculture analysis, agriculture analysis system, agriculture management software, crop management app, crop management software, drones, drones analytics, drones software platform, ndre, ndvi",Venture Capital-Backed,Generating Revenue/Not Profitable,Venture Capital,Keith McCall,44280-28P,3,132369-58T,19-Feb-2020,08-Sep-2021,0.21,Actual,9.34,9.55,Actual,2.22 %,1.55,2nd Round,Up Round,0.94,Series A,Early Stage VC,Series A,,Venture Capital,0.21,No,,,,,Completed,Generating Revenue/Not Profitable,Venture Capital-Backed,8,2,,2,US Dollars (USD),"Bellevue, WA",Americas,North America,Bellevue,Washington,98004,United States,2018,www.pollensystems.com
