CEO PBId,Twitter Handle
225994-69P,@genioho
166848-31P,@swehan
59681-44P,**
272526-22P,@TousinaMartin
185788-54P,@NiftyRidley
141302-80P,"@EllieSymes, @southerngurl519"
257008-78P,@JasonAWood1
157850-20P,@josh_simons_
234407-17P,@WilderRumpf
44280-28P,"@krmccall, @kthmccll"
262629-73P,**
199946-89P,@UglyAmerican
267638-68P,"@TVsKyle, @kylebtc"
40610-98P,"@PetFlan, 
Peter Flanagan
@Petergiligulgul"
32226-31P,@Golfsullivan
31878-91P,"@PrakChakravarti, @Prakash58808812"
103381-75P,@OliverHeartmont
41729-68P,
179224-93P,
229136-86P,@luliu
45434-08P,@BryanFinnerty
32016-34P,"@NJHpdx, @NancyloveHam"
59906-44P,
119142-64P,@kledaras
209557-36P,@taylormeyer721
39643-39P,
275702-77P,
244941-49P,@Garymarella
192059-02P,@gregg_murset
46144-63P,
170783-02P,@ges13
250608-16P,@Jesse_Anglen
183038-77P,
283154-68P,
41566-33P,@berimeric
163797-49P,@YaaniYulia
242131-06P,
171431-11P,@ct_hutcheson
78798-16P,@Natmembersuite
92961-01P,
115754-50P,@kumanulife
269670-97P,
203846-50P,@DeeveeKashi
40201-75P,@EccentexCEO
207508-87P,"@BrianConroy11, @Brianconroy621"
92306-26P,
172664-83P,@tmizzone
280111-60P,
36956-17P,@Brian_panOpen
59653-90P,
52086-52P,@austinsense
179869-42P,@emilysmithceo
42981-49P,@jbselz
144821-71P,@JeriFrank
61604-11P,
105261-04P,"@adam8taylor, @AskAdamTaylor"
263874-97P,"@aditya49, @AdityaTallapra1"
56151-19P,@artemsmind
143039-26P,@yenhwas
269655-85P,
42135-40P,@mnicastro24
144206-92P,@nirper
138835-54P,
42351-31P,@PhilNoLimits
220880-89P,
269201-98P,@KevForTheHuynh
220957-48P,
138257-47P,@murriner
,
191914-48P,"@_danielennis_ , @Aikar , @danennis_"
203667-04P,"@praveen200s,  @sinha_praveen"
235599-94P,"@Jag_Gattu, "
225517-24P,
252530-11P,@carlaesmall
258551-11P,"@dantudor, @danielrtudor"
87250-96P,@nirajr
227384-11P,"@eureka297, @Nick_Maptician"
258094-45P,@DanH1957
43896-61P,@ngirard
157620-07P,@rajat_974
269035-39P,"@BrenekJason,"
43966-99P,@wadefoster
165040-48P,"@RichardGauthier, @RicharGauthier, @Rigotier"
75619-81P,@adnanmahmud
114089-23P,
117046-09P,@miku_jha
211558-69P,@gokul_muralidha
269542-00P,@mjhayesTV
129469-87P,@inderjeetgujral
113435-65P,@douglaswilber
136016-56P,@ori_rafael
105649-30P,"@RLM_3,   @RMitchellPGA"
172664-83P,@tmizzone
186908-23P,"@winkler_tyler, @TylerWi52028056"
46912-24P,@MichaelJais
127796-50P,@cedsav
206574-94P,@AustinRWoodward
48280-15P,"@Sven_Svensen, @StevenSchneider"
38223-46P,@itzikcoh
161888-86P,"@cynthiaadams57, @cnote1616,  @adams_bb17"
206598-34P,@chetfaliszek
89394-22P,@billstron
165989-08P,"@tomgordonLD, @TomGordonMartin"
203451-94P,@Vote_ForPedro
183238-30P,@AhmedElsayyad_
223279-30P,@gregg_levin
45865-00P,@TomCoburn1
232176-70P,@ChaseGarrett23
251722-72P,@markacrawfordjr
210827-71P,@denniscai
62174-44P,"@JeremiahCall,"
111181-42P,"@rguerrieri, @guerrieri53,"
107239-06P,"@boydb81, @BigB5535, @bret_B15, @bboyd85"
183294-73P,@kal_amin
257793-22P,"@adellam0, @damico_andrea"
236226-61P,@oware
83003-95P,"@jamesdowd1, @James_Dowdall"
206746-93P,
242126-02P,@JamesHervold
134428-96P,@nmarzouk
44516-44P,@techsportsmark
207919-00P,"@Gordeve28, @andreygordeev87, @AndreyGordeev"
138605-41P,"@RealTweets_KY, @jhuggins_23"
52205-05P,@Ralph_Marcucc
141430-51P,@apatriq
220703-68P,@AllenCMueller
201968-20P,@mattcasa
153076-15P,"@ethanbarhydt
"
153585-55P,@dave__bowen
269035-39P,"@BrenekJason, @jason_brenek"
135404-47P,@nicktommarello
202339-00P,
57086-20P,@cmbreeze
94383-19P,"@bal_english, @b_english_0, @Bren_E92,"
222088-06P,"@landonlawson24, @LandonLawson18"
44237-98P,@rick06038556
135530-65P,@Rasheed_hamouda
57094-39P,@peterhoradan
121246-21P,@randysaaf
38757-34P,@brianshin
230292-64P,"@DanielSpera, @danspera"
100577-44P,"@smashley98614, @SellersWes, @SellersWesley"
51182-65P,@fassadip
80252-02P,"@bigmo287, @Smoritz22, @stevemoritz"
39046-60P,@persilientvj
229306-33P,@djkustelski
105275-17P,@WayneLam888
121619-62P,"@kevindunnNY, @KevinTechExec"
150626-80P,@thahazer
50362-57P,@RogerCasals
170198-38P,"@seanbourgeois30, @seanbourgeois1,"
274317-94P,"@TejasShinge,"
205220-44P,@Shanekovalsky
74828-17P,@ZacharyDeWitt
39127-60P,@jasonnazar
150596-02P,@o_micron
42106-42P,@GHammerman
226885-87P,@shewidan
244845-73P,@TirmanTom
241788-25P,@benjaryu
187559-56P,@daisylumley
182106-91P,@PrabhuFacilio
105748-03P,@ken_so
273474-64P,@RieweFabian
51129-91P,"@bradydisabeast, "
133667-47P,@jayjreno
199976-32P,@JohnRayBradford
,
13471-12P,"@bgraham888, @BruceGraham0"
142261-21P,"@JoeKozak_, @jo_kozak, @Jo_Ko90"
246739-15P,"@TroiseEliott,"
214331-95P,
205763-95P,@JasonFox70
126143-74P,@sebastianmetti
203925-07P,@jon_vitti
154185-76P,@TheDonnyWhite
112550-32P,@GaryAckermanDDS
250497-73P,"@ADIAZONESIR, @adiazDC"
123868-45P,@waldsteinj
210391-84P,
191449-27P,"@danielwise92, @wisejayhawk"
223744-69P,@AndersonMAA
209021-05P,
290473-93P,@Aidan_StanWorld
181465-48P,@YoussefASaleh
237309-22P,"@StevenPHartman, @StevenPHartman, @SteveHartman87"
41926-24P,@skypen
185333-14P,@JRegenor
42944-59P,@devofonik. @greenmachine039 .
45963-19P,@davidpearah
251822-71P,@GTRJamey
160354-90P,@zoharhod
257632-48P,@lydiajhan
198401-95P,@ardis
162746-11P,"@William_Ward,  @BillyElNino"
224408-98P,@_stevecarter_
124945-30P,"@williamlennon, @blennon_"
135527-23P,@DmitryLoki
100371-16P,
126443-89P,"@RaymondNomizu, @rnomizu"
197957-35P,@nemrow
269199-37P,@twschiller
81524-80P,@devontivona
98488-36P,@thayerstewart
143772-22P,@hellokeegan
170236-99P,@SocialYappaApp
50515-39P,@SiteWitCEO
273813-49P,
243615-61P,@tomasccampos
168604-57P,@santibibiloni
229809-43P,
96201-10P,@TZhongg
61374-97P,@chiragpancholi
125652-43P,@michiarohrssen
40127-86P,@adams472
283149-19P,"@therealjt84, @JohnTho31343873"
262619-56P,@timlongojr
59653-90P,"@AJK_Kuhlmann, @AndreasKuhlmann"
108282-97P,"@victorjfaust, @Sweet_Lou92"
187411-06P,@beradleydavis
186017-05P,
100363-78P,@SandDollarDeals
179674-84P,@KurtzerGreg
174215-53P,"@eadler, @EricAdler, @ProfEricAdler"
96853-87P,@davidjbrunner
79526-89P,@StephenCornwell
93190-06P,@SVPierce
44219-62P,@jeremiahg
13668-31P,"@securemoshir,"
264350-08P,Konrad Zemek
237512-98P,@ameensol
260468-20P,"@Chris___Ewing, "
103404-88P,"@subirbh1, @SUBIRBH35997734"
164783-35P,@DJSterntables
208269-73P,"@_JohnBertrand, @John_KW1"
169897-78P,@ArdalanKhosrow
114911-38P,"@roofbeam, @DavidGArnold"
133703-11P,"@gabriel666smith, @GabeSmith92"
214947-73P,@beenuar
232819-03P,@JoshSear
45579-97P,@Ostendio_CEO
54938-17P,@jacobaross
262604-17P,@DChoi_1976
176193-64P,@BrendanKamm
113751-28P,@abtinh
93561-31P,@kadvani
38422-00P,@mbam_
263300-77P,"@mark4ceredigion, @MarkWi1liams"
39623-77P,@tophday
195873-04P,@JimBugwadia
183082-87P,@dpstomar
